일시,대여소명,대여건수,반납건수
2025-01-01,ST-112,0,3
2025-01-01,ST-1149,1,1
2025-01-01,ST-1199,2,2
2025-01-01,ST-1344,0,1
2025-01-01,ST-140,0,1
2025-01-01,ST-1438,1,0
2025-01-01,ST-1495,0,1
2025-01-01,ST-1775,0,2
2025-01-01,ST-1781,2,0
2025-01-01,ST-1811,0,1
2025-01-01,ST-1813,1,0
2025-01-01,ST-1885,1,0
2025-01-01,ST-198,1,0
2025-01-01,ST-1994,1,0
2025-01-01,ST-2031,0,1
2025-01-01,ST-2187,0,1
2025-01-01,ST-22,1,0
2025-01-01,ST-2308,0,2
2025-01-01,ST-2334,2,2
2025-01-01,ST-2443,0,1
2025-01-01,ST-2453,0,1
2025-01-01,ST-2464,0,1
2025-01-01,ST-2472,1,0
2025-01-01,ST-2513,2,2
2025-01-01,ST-2526,2,0
2025-01-01,ST-253,2,0
2025-01-01,ST-2557,1,0
2025-01-01,ST-2749,2,2
2025-01-01,ST-2905,2,2
2025-01-01,ST-297,1,0
2025-01-01,ST-3029,1,1
2025-01-01,ST-324,1,0
2025-01-01,ST-330,1,0
2025-01-01,ST-3321,0,2
2025-01-01,ST-3333,0,1
2025-01-01,ST-339,0,2
2025-01-01,ST-376,2,2
2025-01-01,ST-408,1,0
2025-01-01,ST-414,0,1
2025-01-01,ST-442,2,0
2025-01-01,ST-445,3,0
2025-01-01,ST-446,1,0
2025-01-01,ST-46,3,0
2025-01-01,ST-47,1,1
2025-01-01,ST-506,0,1
2025-01-01,ST-596,2,2
2025-01-01,ST-73,0,5
2025-01-01,ST-748,0,2
2025-01-01,ST-750,1,1
2025-01-01,ST-797,1,1
2025-01-01,ST-799,0,1
2025-01-01,ST-8,0,1
2025-01-01,ST-85,2,0
2025-01-01,ST-89,1,0
2025-01-01,ST-948,0,1
2025-01-01,ST-951,1,0
2025-01-01,ST-971,2,2
2025-01-01,ST-99,2,0
2025-01-02,ST-118,0,1
2025-01-02,ST-1199,1,1
2025-01-02,ST-130,0,1
2025-01-02,ST-1344,0,1
2025-01-02,ST-140,2,0
2025-01-02,ST-1433,1,0
2025-01-02,ST-1446,1,1
2025-01-02,ST-153,1,0
2025-01-02,ST-1606,1,2
2025-01-02,ST-1775,1,0
2025-01-02,ST-1777,0,1
2025-01-02,ST-1780,2,0
2025-01-02,ST-1781,1,0
2025-01-02,ST-1807,2,1
2025-01-02,ST-1812,0,1
2025-01-02,ST-1885,1,0
2025-01-02,ST-2036,1,1
2025-01-02,ST-21,2,0
2025-01-02,ST-2156,0,1
2025-01-02,ST-2334,1,0
2025-01-02,ST-2368,0,2
2025-01-02,ST-2431,0,4
2025-01-02,ST-2516,2,2
2025-01-02,ST-2526,2,0
2025-01-02,ST-2527,0,2
