"일시","대여소명","대여건수","반납건수"
"2025-07-01","742. 등촌역 5번 출구 뒤","0","1"
"2025-07-01","748. 목동운동장","1","1"
"2025-07-01","1030. 미호 플랜트 앞","1","0"
"2025-07-01","1044. 굽은다리역","2","2"
"2025-07-01","1153. 발산역 1번, 9번 인근 대여소","0","2"
"2025-07-01","300. 정동사거리","0","1"
"2025-07-01","301. 경복궁역 7번출구 앞","1","1"
"2025-07-01","3515. 서울숲 관리사무소","19","12"
"2025-07-01","305. 종로구청 옆","2","0"
"2025-07-01","307. 서울역사박물관 앞","1","0"
"2025-07-01","314. 국립현대미술관","2","2"
"2025-07-01","829. 한강대교 북단 교차로","2","3"
"2025-07-01","832. 이촌1동 주민센터 뒤","3","0"
"2025-07-01","2385. 학동역","0","4"
"2025-07-01","393. 동대문역 8번 출구","2","0"
"2025-07-01","398. 을지로3가역 3번출구","1","0"
"2025-07-01","839. 보광동 삼성리버빌아파트 앞","0","1"
"2025-07-01","331. 을지로2가 사거리 북측","1","0"
"2025-07-01","334. 종로3가역 2번출구 뒤","2","0"
"2025-07-01","2505. 우성아파트사거리 (기업은행앞)","2","0"
"2025-07-01","2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞)","1","0"
"2025-07-01","342. 대학로 마로니에공원","2","0"
"2025-07-01","3529. 어린이대공원정문","1","0"
"2025-07-01","452. 동대문 종합시장 버스정류장","0","2"
"2025-07-01","458. 광화문역 5번출구","0","1"
"2025-07-01","346. 맥스타일 앞","0","1"
"2025-07-01","347. 동대문역사문화공원역 9번출구 앞","1","0"
"2025-07-01","1372. KEB은행 고대점","2","0"
"2025-07-01","349. 어린이도서관","1","0"
"2025-07-01","3533. 건대입구역 사거리(롯데백화점)","0","1"
"2025-07-01","3534. 건대입구역 5번출구 뒤","1","1"
"2025-07-01","433. 을지로입구역 2번출구","1","1"
"2025-07-01","2608. 송파구청","1","0"
"2025-07-01","1084. 윤선생빌딩(JYP사옥)","1","0"
"2025-07-01","1193. 마곡센트럴타워 1차","1","0"
"2025-07-01","354. 포르투갈 대사관 앞","1","0"
"2025-07-01","1197. 엠펠리체 호텔 건너편","0","1"
"2025-07-01","358. 성균관대입구 사거리 A","0","1"
