기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강남구,2.29556092E8,10.3
강동구,5.771401E7,2.6
강북구,3.5319228E7,1.6
강서구,9.4156643E7,4.2
관악구,6.8261676E7,3.1
광진구,7.5503274E7,3.4
구로구,7.0135944E7,3.2
금천구,3.0180493E7,1.4
노원구,6.1534546E7,2.8
도봉구,3.4511918E7,1.6
동대문구,5.9865348E7,2.7
동작구,6.8372843E7,3.1
마포구,1.24398015E8,5.6
서대문구,9.0975644E7,4.1
서초구,1.9144698E8,8.6
성동구,7.8024331E7,3.5
성북구,5.913851E7,2.7
송파구,1.34710653E8,6.1
양천구,4.1531088E7,1.9
영등포구,1.20815328E8,5.4
용산구,1.18812659E8,5.3
은평구,3.7894882E7,1.7
종로구,1.4891857E8,6.7
중구,1.5232678E8,6.9
중랑구,3.7691154E7,1.7
